Model,Manufacturer,Length (m),Width (m),Height (m),Area (m^2),"Cooling capacity (stated, kW)","Cooling capacity (central estimate, kW)",Source,Link,Spot check,Notes,Fan Diameter (m),Number of Fans,Fan estimate diameter (m),Type,Motor Horsepower
XES15E-1218-09FN,BAC,4.5,5.49,4.47,24.67,"1,400",1400.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,4.2749999999999995,,
XES3E-8518-07K,BAC,5.51,2.59,3.81,14.28,"1,405",1405.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.4604999999999997,,10.0
S3E-8518-05M,BAC,5.51,2.59,3.0,14.28,"1,414",1414.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.4604999999999997,,20.0
XES15E-1212-12HN,BAC,5.56,3.66,5.46,20.35,"1,418",1418.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
S15E-1212-09JN,BAC,4.34,3.66,4.24,15.89,"1,440",1440.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
S3E-8518-06L,BAC,5.51,2.59,3.4,14.28,"1,444",1444.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.4604999999999997,,15.0
XES15E-1218-12EN,BAC,5.72,5.49,5.69,31.35,"1,444",1444.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,5.2155,,
S15E-1212-07LC,BAC,3.45,3.66,3.38,12.63,"1,457",1457.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.2775,,
XES15E-1218-10FN,BAC,4.9,5.49,4.88,26.9,"1,471",1471.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,4.655,,
XES3E-1020-07K,BAC,6.12,3.0,3.71,18.35,"1,493",1493.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.8499999999999996,,10.0
XES15E-1212-10JN,BAC,4.75,3.66,4.65,17.37,"1,510",1510.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
S15E-1285-06KN-2,BAC,3.05,5.23,2.97,15.95,"1,519",1519.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,2.8974999999999995,,
XES15E-1218-11FN,BAC,5.31,5.49,5.28,29.13,"1,528",1528.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,5.044499999999999,,
XES3E-1020-06L,BAC,6.12,3.0,3.3,18.35,"1,537",1537.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.8499999999999996,,15.0
XES3E-1222-06K,BAC,6.58,3.61,3.33,23.73,"1,537",1537.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,10.0
XES3E-1222-07J,BAC,6.58,3.61,3.73,23.73,"1,554",1554.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,7.5
XES15E-1212-11JN,BAC,5.16,3.66,5.46,18.86,"1,558",1558.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
S15E-1212-09KN,BAC,4.34,3.66,4.24,15.89,"1,572",1572.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
XES15E-1218-12FN,BAC,5.72,5.49,5.69,31.35,"1,585",1585.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,5.2155,,
S3E-8518-06M,BAC,5.51,2.59,3.4,14.28,"1,585",1585.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.4604999999999997,,20.0
XES3E-8518-07L,BAC,5.51,2.59,3.81,14.28,"1,602",1602.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.4604999999999997,,15.0
XES15E-1218-09GN,BAC,4.5,5.49,4.47,24.67,"1,607",1607.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,4.2749999999999995,,
XES15E-1212-12JN,BAC,5.56,3.66,5.46,20.35,"1,616",1616.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
XES15E-1218-07HN,BAC,3.61,5.49,3.61,19.79,"1,637",1637.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.4294999999999995,,
S15E-1212-10KN,BAC,4.75,3.66,4.65,17.37,"1,651",1651.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
S15E-1285-07KN-2,BAC,3.45,5.23,3.38,18.07,"1,659",1659.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,3.2775,,
S15E-1212-09LC,BAC,4.34,3.66,4.24,15.89,"1,681",1681.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
S3E-1020-06M,BAC,6.12,3.0,3.3,18.35,"1,686",1686.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.8499999999999996,,20.0
XES15E-1218-10GN,BAC,4.9,5.49,4.88,26.9,"1,690",1690.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,4.655,,
S15E-1212-11KN,BAC,5.16,3.66,5.05,18.86,"1,699",1699.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
S3E-8518-06N,BAC,5.51,2.59,3.4,14.28,"1,703",1703.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.4604999999999997,,25.0
XES3E-1020-07L,BAC,6.12,3.0,3.71,18.35,"1,703",1703.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.8499999999999996,,15.0
XES3E-1222-07K,BAC,6.58,3.61,3.73,23.73,"1,708",1708.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,10.0
XES3E-1424-07J,BAC,7.34,4.27,3.76,31.32,"1,738",1738.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,7.5
S15E-1285-06LN-2,BAC,3.05,5.23,2.97,15.95,"1,738",1738.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,2.8974999999999995,,
XES3E-1222-06L,BAC,6.58,3.61,3.33,23.73,"1,752",1752.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,15.0
S3E-8518-07M,BAC,5.51,2.59,3.81,14.28,"1,756",1756.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.4604999999999997,,20.0
S15E-1212-12KN,BAC,5.56,3.66,5.46,20.35,"1,760",1760.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
S15E-1212-09LN,BAC,4.34,3.66,4.24,15.89,"1,760",1760.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
XES15E-1218-11GN,BAC,5.31,5.49,5.28,29.13,"1,760",1760.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,5.044499999999999,,
S15E-1212-10LC,BAC,4.75,3.66,4.65,17.37,"1,765",1765.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
S3E-8518-06O,BAC,5.51,2.59,3.4,14.28,"1,782",1782.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.4604999999999997,,30.0
S3E-1020-06N,BAC,6.12,3.0,3.3,18.35,"1,809",1809.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.8499999999999996,,25.0
S15E-1212-11LC,BAC,5.16,3.66,5.05,18.86,"1,817",1817.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
XES15E-1218-12GN,BAC,5.72,5.49,5.69,31.35,"1,822",1822.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,5.2155,,
S15E-1212-10LN,BAC,4.75,3.66,4.65,17.37,"1,848",1848.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
S3E-1020-07M,BAC,6.12,3.0,3.71,18.35,"1,866",1866.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.8499999999999996,,20.0
S15E-1218-07JN,BAC,3.61,5.49,3.61,19.79,"1,875",1875.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.4294999999999995,,
S3E-8518-07N,BAC,5.51,2.59,3.81,14.28,"1,883",1883.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.4604999999999997,,25.0
S15E-1212-12LC,BAC,5.56,3.66,5.46,20.35,"1,883",1883.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
XES15E-1218-09HN,BAC,4.5,5.49,4.47,24.67,"1,888",1888.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,4.2749999999999995,,
S15E-1285-07LN-2,BAC,3.45,5.23,3.38,18.07,"1,905",1905.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,3.2775,,
S15E-1212-11LN,BAC,5.16,3.66,5.05,18.86,"1,905",1905.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
XES3E-1424-07K,BAC,7.34,4.27,3.76,31.32,"1,910",1910.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,10.0
S3E-1020-06O,BAC,6.12,3.0,3.3,18.35,"1,914",1914.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.8499999999999996,,30.0
S3E-1222-06M,BAC,6.58,3.61,3.33,23.73,"1,923",1923.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,20.0
XES3E-1222-07L,BAC,6.58,3.61,3.73,23.73,"1,949",1949.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,15.0
S15E-1285-09KN-2,BAC,4.37,5.23,4.37,22.86,"1,958",1958.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.1514999999999995,,
S15E-1212-12LN,BAC,5.56,3.66,5.46,20.35,"1,971",1971.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
S3E-8518-07O,BAC,5.51,2.59,3.81,14.28,"1,980",1980.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.4604999999999997,,30.0
XES15E-1218-10HN,BAC,4.9,5.49,4.88,26.9,"1,980",1980.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,4.655,,
S3E-1020-07N,BAC,6.12,3.0,3.71,18.35,"2,006",2006.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.8499999999999996,,25.0
S15E-1212-10MN,BAC,4.75,3.66,4.65,17.37,"2,015",2015.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
S15E-1218-07KN,BAC,3.61,5.49,3.61,19.79,"2,046",2046.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.4294999999999995,,
XES15E-1218-11HN,BAC,5.31,5.49,5.28,29.13,"2,063",2063.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,5.044499999999999,,
S3E-1222-06N,BAC,6.58,3.61,3.33,23.73,"2,068",2068.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,25.0
S15E-1285-07MN-2,BAC,3.45,5.23,3.38,18.07,"2,072",2072.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,3.2775,,
S15E-1212-11MN,BAC,5.16,3.66,5.05,18.86,"2,098",2098.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
S3E-1020-07O,BAC,6.12,3.0,3.71,18.35,"2,125",2125.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.8499999999999996,,30.0
S3E-8518-07P,BAC,5.51,2.59,3.81,14.28,"2,125",2125.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.4604999999999997,,40.0
XES15E-1218-12HN,BAC,5.72,5.49,5.69,31.35,"2,134",2134.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,5.2155,,
XES3E-1222-07M,BAC,6.58,3.61,3.73,23.73,"2,138",2138.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,20.0
S15E-1218-09JN,BAC,4.5,5.49,4.47,24.67,"2,151",2151.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,4.2749999999999995,,
XES3E-1222-10K,BAC,6.58,3.61,5.0,23.73,"2,155",2155.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,10.0
S15E-1212-12MN,BAC,5.56,3.66,5.46,20.35,"2,173",2173.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
XES3E-1424-07L,BAC,7.34,4.27,3.76,31.32,"2,182",2182.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,15.0
S3E-1222-06O,BAC,6.58,3.61,3.33,23.73,"2,195",2195.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,30.0
S15E-1218-07LC,BAC,3.61,5.49,3.61,19.79,"2,199",2199.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.4294999999999995,,
S15E-1285-09LN-2,BAC,4.37,5.23,4.37,22.86,"2,221",2221.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.1514999999999995,,
XES15E-1218-10JN,BAC,4.9,5.49,4.88,26.9,"2,256",2256.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,4.655,,
S3E-1222-07N,BAC,6.58,3.61,3.73,23.73,"2,296",2296.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,25.0
S15E-1285-10LN-2,BAC,4.78,5.23,4.78,24.99,"2,318",2318.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.541,,
